fileName,startTime,endTime,fileLength,fileSize,deltaTime
s07842-3349-11-06-14-45n.hea.csv,14:45:27 06/11/3349,08:14:27 14/11/3349,11130,1220,5724
s07849-2872-03-02-14-46n.hea.csv,14:46:50 02/03/2872,21:51:50 06/03/2872,6186,692,62
s07849-2872-03-17-14-22n.hea.csv,14:22:26 17/03/2872,08:09:26 18/03/2872,1068,136,21638
s07849-2872-03-18-09-16n.hea.csv,09:16:26 18/03/2872,17:12:26 18/03/2872,477,60,22772
s07860-2890-09-20-19-26n.hea.csv,19:26:46 20/09/2890,15:24:46 25/09/2890,6959,1184,52
s07886-2763-05-06-18-14n.hea.csv,18:14:48 06/05/2763,13:30:48 10/05/2763,5477,792,183
s07894-2744-11-19-16-20n.hea.csv,16:20:34 19/11/2744,09:52:34 27/11/2744,11133,1748,133
s07897-2653-11-27-10-42n.hea.csv,10:42:41 27/11/2653,12:56:41 05/12/2653,11655,1420,-5
s07908-3421-07-16-18-24n.hea.csv,18:24:08 16/07/3421,13:15:08 17/07/3421,1132,124,174
s07908-3421-07-17-14-32n.hea.csv,14:32:08 17/07/3421,15:26:08 17/07/3421,55,8,1382
s07910-3268-05-18-18-51n.hea.csv,18:51:43 18/05/3268,19:12:43 18/05/3268,22,4,-18
s07910-3268-05-19-00-17n.hea.csv,00:17:43 19/05/3268,19:28:43 19/05/3268,1152,180,308
s07910-3268-05-20-08-58n.hea.csv,08:58:43 20/05/3268,09:07:43 20/05/3268,10,4,2269
s07977-3336-01-17-14-20n.hea.csv,14:20:20 17/01/3336,18:31:20 19/01/3336,3132,420,-9
s07977-3336-01-19-22-45n.hea.csv,22:45:20 19/01/3336,00:37:20 20/01/3336,113,16,3376
s07985-3356-02-15-23-47n.hea.csv,23:47:44 15/02/3356,04:28:44 26/02/3356,14682,1652,160479
s07985-3356-02-26-14-04n.hea.csv,14:04:04 26/02/3356,05:22:04 27/02/3356,919,100,175736
s08013-2766-02-07-22-24n.hea.csv,22:24:23 07/02/2766,16:54:23 09/02/2766,2551,364,1
s08013-2766-02-09-17-08n.hea.csv,17:08:35 09/02/2766,10:30:35 10/02/2766,1043,168,2565
s08013-2766-02-14-08-11n.hea.csv,08:11:35 14/02/2766,12:45:35 15/02/2766,1715,272,9228
s08013-2766-02-15-14-50n.hea.csv,14:50:35 15/02/2766,14:58:35 15/02/2766,9,4,11067
s08040-2792-09-22-23-05n.hea.csv,23:05:42 22/09/2792,17:07:42 24/09/2792,2523,288,137
s08099-3418-08-28-07-45n.hea.csv,07:45:00 28/08/3418,19:59:00 28/08/3418,735,120,75
s08100-2804-07-26-19-00n.hea.csv,19:00:32 26/07/2804,13:45:32 27/07/2804,1126,200,-723
s08100-2804-07-26-21-43n.hea.csv,21:43:32 26/07/2804,21:43:32 26/07/2804,1,4,-560
s08100-2804-07-27-08-20n.hea.csv,08:20:32 27/07/2804,14:21:32 27/07/2804,362,48,77
s08100-2804-07-27-15-05n.hea.csv,15:05:32 27/07/2804,23:13:32 27/07/2804,489,92,482
s08100-2804-07-29-17-53n.hea.csv,17:53:32 29/07/2804,23:46:32 01/08/2804,4674,828,3530
s08120-2566-09-30-13-23n.hea.csv,13:23:24 30/09/2566,16:10:24 30/09/2566,168,24,108
s08120-2566-10-03-14-34n.hea.csv,14:34:11 03/10/2566,16:19:11 04/10/2566,1546,220,4499
s08138-2514-10-02-16-10n.hea.csv,16:10:00 02/10/2514,18:41:00 03/10/2514,1592,288,1408
s08154-2855-11-08-18-21n.hea.csv,18:21:13 08/11/2855,18:37:13 09/11/2855,1457,164,18530
s08154-2855-11-09-23-31n.hea.csv,23:31:13 09/11/2855,23:51:13 09/11/2855,21,4,20280
s08186-2714-05-07-14-20n.hea.csv,14:20:18 07/05/2714,13:46:18 08/05/2714,1407,160,4283
s08198-2822-07-21-04-24n.hea.csv,04:24:00 21/07/2822,05:24:00 21/07/2822,61,8,13698
s08198-2822-08-03-11-44n.hea.csv,11:44:00 03/08/2822,14:30:00 03/08/2822,167,20,32858
s08198-2822-08-03-17-32n.hea.csv,17:32:00 03/08/2822,16:44:00 04/08/2822,1393,156,33206
s08207-3397-03-20-14-11n.hea.csv,14:11:42 20/03/3397,14:38:42 22/03/3397,2908,360,1
s08207-3397-03-30-16-03n.hea.csv,16:03:49 30/03/3397,22:21:49 11/04/3397,17659,2212,14513
s08231-3207-01-10-19-43n.hea.csv,19:43:52 10/01/3207,15:26:52 12/01/3207,2624,440,825494
s08249-2605-04-16-10-43n.hea.csv,10:43:09 16/04/2605,14:57:09 17/04/2605,1695,268,114
s08249-2605-04-17-16-06n.hea.csv,16:06:59 17/04/2605,16:22:59 17/04/2605,17,4,1877
s08249-2605-04-17-20-31n.hea.csv,20:31:59 17/04/2605,14:38:59 24/04/2605,9728,1736,2142
s08259-3111-04-03-11-47n.hea.csv,11:47:55 03/04/3111,09:35:55 04/04/3111,1309,156,1223
s08259-3111-04-04-10-44n.hea.csv,10:44:55 04/04/3111,16:40:55 04/04/3111,357,48,2600
s08269-2555-05-14-22-05n.hea.csv,22:05:34 14/05/2555,09:41:34 15/05/2555,697,76,53
s08272-3167-08-08-14-31n.hea.csv,14:31:00 08/08/3167,14:51:00 08/08/3167,21,4,-126
s08272-3167-08-08-20-22n.hea.csv,20:22:00 08/08/3167,20:34:00 10/08/3167,2893,328,225
